                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0083,                 4.4977,                 1.5071,                0.00545,                0.24711,                0.02716,                0.00858,                 2.5259,                 3.5734,                 1.3261,              0.0032787,              0.0032787,              0.0032787
                      2,                 2.6292,                 3.2571,                 1.2943,                0.00674,                0.34226,                0.02323,                0.00718,                 2.5119,                 3.4902,                  1.322,              0.0066107,              0.0066107,              0.0066107
                      3,                 2.5914,                 3.0455,                 1.2841,                   0.23,                0.05969,                0.03797,                0.01286,                 2.4547,                 3.0559,                 1.2172,              0.0099414,              0.0099414,              0.0099414
                      4,                 2.6133,                 2.9729,                 1.2628,                0.25326,                0.06818,                0.04358,                0.01441,                 2.5557,                 3.0067,                 1.3934,              0.0099941,              0.0099941,              0.0099941
                      5,                 2.5754,                   2.91,                 1.2484,                0.45307,                0.00704,                0.01112,                0.00421,                 3.2583,                 3.9748,                 1.9566,              0.0099921,              0.0099921,              0.0099921
                      6,                 2.5358,                 2.7392,                  1.241,                0.04839,                0.05974,                0.01845,                0.00557,                 2.7422,                 3.4264,                 1.3464,              0.0099901,              0.0099901,              0.0099901
                      7,                 2.5022,                 2.7087,                 1.2315,                0.15197,                0.13661,                0.06459,                0.01987,                 2.5145,                 2.8938,                 1.2625,              0.0099881,              0.0099881,              0.0099881
                      8,                 2.4654,                 2.6101,                 1.2326,                0.12865,                0.14629,                0.08243,                0.02721,                 2.3167,                 2.5836,                 1.2037,              0.0099861,              0.0099861,              0.0099861
                      9,                 2.4866,                 2.5947,                 1.2263,                0.09061,                0.15637,                0.06788,                0.02206,                 2.3592,                 2.5627,                 1.2268,              0.0099842,              0.0099842,              0.0099842
                     10,                 2.4697,                 2.4964,                 1.2381,                 0.1701,                0.05903,                0.06132,                0.02138,                 2.4573,                 3.0423,                  1.229,              0.0099822,              0.0099822,              0.0099822
                     11,                 2.4176,                   2.51,                 1.1998,                0.13332,                0.19196,                0.08019,                 0.0269,                 2.3698,                 2.6753,                 1.2264,              0.0099802,              0.0099802,              0.0099802
