                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9863,                 4.1229,                 1.4548,                0.38906,                0.11503,                0.03364,                0.01027,                 2.5472,                 3.1837,                  1.232,             0.00032787,             0.00032787,             0.00032787
                      2,                 2.6002,                 3.1105,                 1.2521,                0.25319,                0.07301,                0.04146,                 0.0148,                 2.4122,                 3.0263,                 1.2522,             0.00064811,             0.00064811,             0.00064811
                      3,                 2.5382,                 2.8882,                 1.2494,                0.24509,                 0.0742,                0.04626,                0.01507,                 2.4548,                 2.7875,                 1.1974,             0.00095515,             0.00095515,             0.00095515
                      4,                 2.4709,                 2.7796,                 1.2143,                0.25836,                0.10021,                0.05695,                0.02119,                 2.3741,                 2.7138,                 1.1909,              0.0009406,              0.0009406,              0.0009406
                      5,                 2.4842,                 2.6737,                  1.223,                0.11263,                0.14031,                0.05689,                0.01958,                 2.3643,                  2.603,                 1.2164,              0.0009208,              0.0009208,              0.0009208
                      6,                 2.4377,                 2.5555,                 1.2138,                0.17416,                0.15116,                0.06496,                0.02096,                 2.3739,                 2.5945,                 1.2054,               0.000901,               0.000901,               0.000901
                      7,                 2.4232,                 2.5264,                 1.2083,                 0.1186,                0.17318,                0.08135,                0.02709,                 2.3522,                 2.4684,                 1.1994,              0.0008812,              0.0008812,              0.0008812
                      8,                 2.4067,                 2.4356,                 1.2164,                0.13698,                0.18045,                0.09071,                0.03065,                 2.3461,                 2.4341,                 1.2305,              0.0008614,              0.0008614,              0.0008614
                      9,                 2.4143,                 2.4295,                 1.2073,                0.12151,                0.18976,                0.08372,                 0.0243,                 2.3795,                 2.5531,                 1.2154,              0.0008416,              0.0008416,              0.0008416
                     10,                 2.3905,                 2.3528,                 1.2025,                0.28575,                0.16828,                0.07971,                0.02577,                 2.4099,                 2.5858,                 1.2414,              0.0008218,              0.0008218,              0.0008218
