                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9863,                 4.1229,                 1.4548,                0.38906,                0.11503,                0.03364,                0.01027,                 2.5472,                 3.1837,                  1.232,             0.00032787,             0.00032787,             0.00032787
                      2,                 2.5969,                 3.1054,                 1.2512,                0.02654,                0.34501,                0.03779,                0.01339,                 2.4083,                 3.1639,                 1.2355,             0.00065902,             0.00065902,             0.00065902
                      3,                 2.5327,                 2.8633,                  1.255,                 0.2412,                0.06433,                0.05472,                0.01854,                 2.3809,                 2.7494,                 1.2068,             0.00098797,             0.00098797,             0.00098797
                      4,                 2.4845,                 2.7855,                 1.2217,                 0.2553,                0.12373,                0.05952,                0.01993,                 2.3591,                 2.6065,                 1.1967,              0.0009901,              0.0009901,              0.0009901
                      5,                 2.4838,                 2.6782,                 1.2254,                 0.1081,                 0.1172,                0.05987,                0.02015,                 2.3207,                 2.6498,                  1.184,              0.0009868,              0.0009868,              0.0009868
                      6,                 2.4475,                 2.5629,                 1.2041,                0.08045,                0.12434,                0.06784,                 0.0224,                 2.3428,                 2.5191,                 1.2079,              0.0009835,              0.0009835,              0.0009835
                      7,                 2.4207,                 2.5169,                 1.2064,                0.14079,                0.15117,                0.08098,                0.02682,                 2.3861,                 2.5137,                 1.2095,              0.0009802,              0.0009802,              0.0009802
                      8,                 2.4085,                 2.4777,                 1.2109,                0.17781,                0.18196,                0.10323,                0.03547,                  2.359,                  2.444,                 1.2335,              0.0009769,              0.0009769,              0.0009769
                      9,                 2.4165,                 2.4369,                 1.2031,                0.12909,                0.17052,                0.09329,                0.02937,                 2.3752,                 2.4368,                 1.2169,              0.0009736,              0.0009736,              0.0009736
                     10,                 2.3969,                  2.359,                 1.2067,                 0.1287,                 0.1522,                0.07529,                0.02325,                 2.4702,                 2.5551,                 1.2086,              0.0009703,              0.0009703,              0.0009703
                     11,                 2.3584,                 2.3768,                 1.1833,                0.18925,                0.15385,                 0.0917,                0.02975,                 2.3765,                 2.7114,                 1.2456,               0.000967,               0.000967,               0.000967
                     12,                 2.3901,                 2.3362,                 1.1955,                0.18326,                0.18578,                0.10738,                0.03637,                 2.3373,                 2.3771,                 1.2007,              0.0009637,              0.0009637,              0.0009637
                     13,                 2.3603,                 2.2973,                 1.1802,                0.15475,                0.19992,                0.10978,                0.03625,                 2.3277,                 2.4286,                 1.2247,              0.0009604,              0.0009604,              0.0009604
                     14,                 2.3486,                 2.2539,                 1.1886,                0.19353,                0.17725,                0.11235,                0.03809,                 2.3545,                 2.4216,                 1.2434,              0.0009571,              0.0009571,              0.0009571
                     15,                 2.3583,                 2.3064,                  1.198,                0.15938,                0.20708,                0.10547,                 0.0347,                 2.3477,                 2.5007,                 1.2218,              0.0009538,              0.0009538,              0.0009538
                     16,                 2.3295,                 2.2333,                  1.175,                 0.1895,                 0.2008,                0.10964,                0.04035,                 2.3444,                    2.4,                 1.2228,              0.0009505,              0.0009505,              0.0009505
                     17,                 2.3321,                  2.222,                 1.1723,                0.18458,                0.20307,                0.11791,                0.03952,                 2.3194,                 2.2993,                  1.198,              0.0009472,              0.0009472,              0.0009472
                     18,                 2.3388,                 2.1941,                  1.188,                0.11268,                0.21358,                0.09424,                0.03411,                 2.3667,                 2.4755,                 1.2065,              0.0009439,              0.0009439,              0.0009439
                     19,                 2.3628,                 2.2155,                 1.1725,                0.13854,                0.21905,                0.10853,                0.03881,                 2.3065,                 2.3388,                  1.217,              0.0009406,              0.0009406,              0.0009406
                     20,                 2.3108,                 2.1587,                 1.1698,                0.15809,                0.21382,                0.10965,                0.03941,                 2.3353,                 2.3724,                 1.2385,              0.0009373,              0.0009373,              0.0009373
                     21,                 2.3101,                 2.1195,                 1.1689,                0.15919,                0.23104,                0.12259,                0.04242,                 2.3564,                 2.4511,                 1.2157,               0.000934,               0.000934,               0.000934
                     22,                 2.3284,                 2.1605,                 1.1693,                0.14903,                0.20281,                0.11106,                0.03875,                 2.3353,                 2.3474,                 1.2192,              0.0009307,              0.0009307,              0.0009307
                     23,                 2.3104,                 2.1275,                 1.1651,                0.18474,                0.17928,                0.11119,                0.03793,                   2.37,                 2.3907,                 1.2178,              0.0009274,              0.0009274,              0.0009274
                     24,                 2.2871,                 2.0887,                 1.1596,                0.25116,                  0.143,                0.11813,                0.04198,                 2.3335,                 2.4718,                 1.2238,              0.0009241,              0.0009241,              0.0009241
                     25,                 2.3099,                 2.1434,                 1.1778,                0.16368,                0.19756,                0.11657,                0.04057,                 2.3049,                 2.3603,                 1.2076,              0.0009208,              0.0009208,              0.0009208
                     26,                 2.3065,                 2.0591,                 1.1751,                0.21269,                 0.1962,                0.12571,                0.04411,                 2.3282,                 2.2709,                  1.213,              0.0009175,              0.0009175,              0.0009175
                     27,                 2.3043,                 2.0816,                 1.1682,                0.21443,                0.19094,                0.12215,                0.04277,                 2.4094,                 2.3884,                 1.2357,              0.0009142,              0.0009142,              0.0009142
                     28,                 2.2653,                 2.0479,                 1.1608,                0.16563,                0.19911,                0.12704,                0.04588,                 2.3319,                 2.3203,                 1.2523,              0.0009109,              0.0009109,              0.0009109
                     29,                 2.2855,                  2.036,                 1.1683,                0.18054,                0.22825,                0.12094,                0.04234,                 2.3685,                 2.3674,                 1.2176,              0.0009076,              0.0009076,              0.0009076
                     30,                 2.2916,                 2.0126,                 1.1688,                0.16897,                0.19342,                0.10497,                0.03711,                 2.3623,                 2.7714,                 1.2313,              0.0009043,              0.0009043,              0.0009043
                     31,                  2.272,                 2.0243,                  1.169,                0.18217,                0.23033,                0.12517,                0.04098,                 2.3425,                 2.4748,                 1.2108,               0.000901,               0.000901,               0.000901
                     32,                 2.2527,                  1.987,                 1.1424,                 0.1847,                 0.1869,                0.11585,                0.04154,                 2.3562,                 2.4388,                 1.2305,              0.0008977,              0.0008977,              0.0008977
                     33,                 2.2761,                 2.0006,                 1.1662,                0.20596,                 0.1798,                0.11988,                 0.0411,                 2.3924,                 2.4595,                 1.2476,              0.0008944,              0.0008944,              0.0008944
                     34,                 2.2723,                 1.9863,                 1.1518,                0.17342,                0.21438,                0.12275,                0.04127,                 2.3875,                 2.2849,                 1.2589,              0.0008911,              0.0008911,              0.0008911
                     35,                 2.2732,                 1.9738,                 1.1696,                0.18726,                0.22648,                0.12462,                0.04226,                 2.3789,                 2.4225,                 1.2506,              0.0008878,              0.0008878,              0.0008878
                     36,                 2.2702,                 1.9508,                 1.1498,                0.22771,                0.20744,                0.12851,                0.04178,                 2.3773,                 2.4275,                 1.2325,              0.0008845,              0.0008845,              0.0008845
                     37,                  2.235,                  1.946,                 1.1543,                0.16132,                0.20414,                0.11905,                 0.0396,                 2.4021,                 2.3789,                 1.2683,              0.0008812,              0.0008812,              0.0008812
                     38,                 2.2553,                 1.9567,                 1.1645,                0.17917,                0.19502,                0.11953,                0.04049,                  2.373,                 2.3891,                 1.2267,              0.0008779,              0.0008779,              0.0008779
                     39,                 2.2388,                  1.923,                 1.1374,                0.27256,                0.18407,                0.13683,                0.04701,                  2.361,                 2.3936,                 1.2382,              0.0008746,              0.0008746,              0.0008746
                     40,                 2.2305,                 1.9095,                 1.1448,                0.20279,                0.19298,                0.13418,                0.04307,                 2.4215,                 2.4075,                 1.2284,              0.0008713,              0.0008713,              0.0008713
